xbox,ybox,annorect_id
594,257,1
952,222,2
619,329,3
1010,412,4
133,315,5
966,340,6
489,383,7
291,353,8
472,377,9
897,171,10
582,268,11
765,394,12
924,445,13
304,264,14
361,303,15
316,283,16
261,296,17
333,246,18
408,263,19
374,255,20
540,267,21
316,220,22
499,232,23
338,258,24
546,249,25
316,299,26
435,295,27
183,327,28
244,190,29
472,245,30
573,288,31
1030,396,32
591,378,33
809,403,34
698,404,35
662,359,36
542,483,37
878,493,38
359,460,39
765,396,40
454,336,41
201,256,42
424,298,43
285,235,44
452,261,45
116,182,46
327,208,47
468,306,48
599,334,49
749,315,50
869,305,51
992,356,52
1076,317,53
191,283,54
453,373,55
733,341,56
159,294,57
338,251,58
514,224,59
681,315,60
362,181,61
1101,700,62
452,226,63
469,204,64
320,237,65
297,216,66
366,242,67
382,201,68
273,249,69
348,132,70
200,301,71
719,298,72
885,379,73
611,374,74
269,237,75
386,341,76
319,228,77
369,149,78
553,192,79
452,175,80
454,261,81
92,258,82
226,257,83
325,237,84
571,363,85
500,386,86
878,464,87
345,459,88
761,369,89
447,481,90
733,444,91
624,307,92
419,329,93
355,342,94
309,222,95
444,320,96
195,312,97
382,249,98
277,283,99
400,283,100
122,279,101
205,237,102
29,306,103
282,237,104
441,278,105
556,221,106
695,217,107
791,216,108
166,249,109
336,152,110
455,187,111
744,193,112
237,217,113
441,284,114
727,359,115
225,180,116
316,168,117
468,209,118
629,161,119
730,599,120
996,457,121
1209,437,122
57,526,123
1343,576,124
292,339,125
1257,297,126
962,628,127
621,907,128
350,537,129
639,364,130
1528,405,131
868,873,132
322,761,133
1690,514,134
633,371,135
775,350,136
291,326,137
313,240,138
257,306,139
651,242,140
241,252,141
862,426,142
770,714,143
1382,434,144
588,633,145
875,492,146
718,351,147
738,437,148
739,310,149
220,238,150
408,209,151
407,236,152
477,365,153
218,372,154
318,375,155
501,390,156
574,352,157
417,281,158
467,376,159
284,222,160
1091,546,161
891,556,162
397,254,163
593,164,164
696,182,165
146,278,166
436,252,167
321,323,168
350,288,169
371,285,170
307,179,171
115,242,172
261,136,173
83,454,174
526,705,175
1256,615,176
1645,427,177
1726,355,178
333,475,179
455,638,180
689,733,181
1230,672,182
1472,527,183
1626,628,184
1320,517,185
684,471,186
821,366,187
373,555,188
461,433,189
1168,377,190
1411,333,191
1647,446,192
562,639,193
978,452,194
1196,545,195
1140,608,196
1712,515,197
181,450,198
602,451,199
1152,505,200
1211,390,201
1466,484,202
1601,414,203
296,650,204
1487,656,205
952,695,206
1397,653,207
843,264,208
1190,376,209
904,426,210
430,390,211
359,359,212
821,357,213
621,255,214
204,294,215
545,346,216
783,342,217
901,378,218
345,433,219
749,296,220
894,508,221
1703,602,222
129,461,223
828,354,224
602,240,225
620,305,226
609,277,227
1244,491,228
789,473,229
661,395,230
462,401,231
227,389,232
56,442,233
317,476,234
669,453,235
1122,549,236
305,227,237
205,287,238
131,204,239
293,210,240
